"USAF","date","admin_lvl1_name","country_iso2_id","country_name","admin_lvl1_id","period_date","dengue_total_cases","LAT","LON","ELEV(M)","wban","yearmoda","temp","dewp","slp","stp","visib","wdsp","mxspd","gust","max","min","prcp","sndp","frshtt"
NA,2010-04-01,"moneragala","LKA","Sri Lanka","LK.MJ",20100401,67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,2010-04-01,"mulativu","LKA","Sri Lanka","LK.MP",20100401,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,2010-04-01,"polonnaruwa","LKA","Sri Lanka","LK.PR",20100401,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,2010-04-01,"trincomalee","LKA","Sri Lanka","LK.TC",20100401,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,2010-05-01,"ampara","LKA","Sri Lanka","LK.AP",20100501,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,2010-05-01,"gampaha","LKA","Sri Lanka","LK.GQ",20100501,295,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,2010-05-01,"kalutara","LKA","Sri Lanka","LK.KT",20100501,185,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,2010-05-01,"kegalle","LKA","Sri Lanka","LK.KE",20100501,53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,2010-05-01,"kilinochchi","LKA","Sri Lanka","LK.KL",20100501,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,2010-05-01,"matale","LKA","Sri Lanka","LK.MT",20100501,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,2010-05-01,"matara","LKA","Sri Lanka","LK.MH",20100501,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,2010-05-01,"moneragala","LKA","Sri Lanka","LK.MJ",20100501,53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,2010-05-01,"mulativu","LKA","Sri Lanka","LK.MP",20100501,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
