"admin_lvl1_name" "date" "USAF" "country_iso2_id" "country_name" "admin_lvl1_id" "period_date" "dengue_total_cases" "LAT" "LON" "ELEV(M)" "wban" "yearmoda" "temp" "dewp" "slp" "stp" "visib" "wdsp" "mxspd" "gust" "max" "min" "prcp" "sndp" "frshtt" "predicted"
"47" "ampara" "2013-11-01" NA "LKA" "Sri Lanka" "LK.AP" 20131101 36 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 72
"48" "ampara" "2013-12-01" NA "LKA" "Sri Lanka" "LK.AP" 20131201 38 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 97
"49" "ampara" "2014-01-01" NA "LKA" "Sri Lanka" "LK.AP" 20140101 34 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 41.6159660472797
"50" "ampara" "2014-02-01" NA "LKA" "Sri Lanka" "LK.AP" 20140201 28 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 37.9309469980118
"51" "ampara" "2014-03-01" NA "LKA" "Sri Lanka" "LK.AP" 20140301 22 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 32.4171709097273
"52" "ampara" "2014-04-01" NA "LKA" "Sri Lanka" "LK.AP" 20140401 21 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 21.1555440583448
"53" "ampara" "2014-05-01" NA "LKA" "Sri Lanka" "LK.AP" 20140501 27 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 20.2033156315122
"54" "ampara" "2014-06-01" NA "LKA" "Sri Lanka" "LK.AP" 20140601 49 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 28.1050467920637
"55" "ampara" "2014-07-01" NA "LKA" "Sri Lanka" "LK.AP" 20140701 28 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 51.5406070060438
"56" "ampara" "2014-08-01" NA "LKA" "Sri Lanka" "LK.AP" 20140801 36 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 22.7934212519509
"57" "ampara" "2014-09-01" NA "LKA" "Sri Lanka" "LK.AP" 20140901 15 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 39.2539353439763
"58" "ampara" "2014-10-01" NA "LKA" "Sri Lanka" "LK.AP" 20141001 43 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 20.1469523871694
"59" "ampara" "2014-11-01" NA "LKA" "Sri Lanka" "LK.AP" 20141101 219 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 45.4767100083309
"60" "ampara" "2014-12-01" NA "LKA" "Sri Lanka" "LK.AP" 20141201 153 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 225.930323205716
"61" "ampara" "2015-01-01" NA "LKA" "Sri Lanka" "LK.AP" 20150101 238 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 136.931776590701
"62" "ampara" "2015-02-01" NA "LKA" "Sri Lanka" "LK.AP" 20150201 92 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 218.171056459901
"63" "ampara" "2015-03-01" NA "LKA" "Sri Lanka" "LK.AP" 20150301 35 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 84.7669024879713
"64" "ampara" "2015-04-01" NA "LKA" "Sri Lanka" "LK.AP" 20150401 21 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 14.6851833484622
"65" "ampara" "2015-05-01" NA "LKA" "Sri Lanka" "LK.AP" 20150501 34 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 21.3286402448617
"66" "ampara" "2015-06-01" NA "LKA" "Sri Lanka" "LK.AP" 20150601 28 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 37.6161694165278
"67" "ampara" "2015-07-01" NA "LKA" "Sri Lanka" "LK.AP" 20150701 17 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 29.743561207327
"68" "ampara" "2015-08-01" NA "LKA" "Sri Lanka" "LK.AP" 20150801 22 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 17.7514131985083
"69" "ampara" "2015-09-01" NA "LKA" "Sri Lanka" "LK.AP" 20150901 19 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 20.7378272538713
"70" "ampara" "2015-10-01" NA "LKA" "Sri Lanka" "LK.AP" 20151001 10 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 46.2427794767454
"71" "ampara" "2015-11-01" NA "LKA" "Sri Lanka" "LK.AP" 20151101 25 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 146.182502803184
"72" "ampara" "2015-12-01" NA "LKA" "Sri Lanka" "LK.AP" 20151201 64 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 32.8702003797374
"73" "ampara" "2016-01-01" NA "LKA" "Sri Lanka" "LK.AP" 20160101 160 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"74" "ampara" "2016-02-01" NA "LKA" "Sri Lanka" "LK.AP" 20160201 146 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"75" "ampara" "2016-03-01" NA "LKA" "Sri Lanka" "LK.AP" 20160301 67 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"76" "ampara" "2016-04-01" NA "LKA" "Sri Lanka" "LK.AP" 20160401 48 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"77" "ampara" "2016-05-01" NA "LKA" "Sri Lanka" "LK.AP" 20160501 28 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"78" "ampara" "2016-06-01" NA "LKA" "Sri Lanka" "LK.AP" 20160601 40 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"79" "ampara" "2016-07-01" NA "LKA" "Sri Lanka" "LK.AP" 20160701 84 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"80" "ampara" "2016-08-01" NA "LKA" "Sri Lanka" "LK.AP" 20160801 36 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"81" "ampara" "2016-09-01" NA "LKA" "Sri Lanka" "LK.AP" 20160901 50 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"82" "anuradhapura" "2010-01-01" 434210 "LKA" "Sri Lanka" "LK.AD" 20100101 267 8.301 80.428 98.8 99999 20100101 77.4 71.6 1011 1000.8 9.3 1.1 2.9 999.9 86 72 0 999.9 0 NA
"83" "anuradhapura" "2010-02-01" 434210 "LKA" "Sri Lanka" "LK.AD" 20100201 296 8.301 80.428 98.8 99999 20100201 79.4 72.4 1012.8 1002.6 9.3 0.6 1.9 999.9 88 74 0 999.9 0 NA
"84" "anuradhapura" "2010-03-01" 434210 "LKA" "Sri Lanka" "LK.AD" 20100301 131 8.301 80.428 98.8 99999 20100301 81.7 69.2 1012.7 1002.5 11.5 0.4 1.9 999.9 94 72.7 0 999.9 0 NA
"85" "anuradhapura" "2010-04-01" 434210 "LKA" "Sri Lanka" "LK.AD" 20100401 48 8.301 80.428 98.8 99999 20100401 86.9 74.9 1009.1 998.9 9.8 1.4 2.9 999.9 98 78 0 999.9 0 NA
"86" "anuradhapura" "2010-05-01" 434210 "LKA" "Sri Lanka" "LK.AD" 20100501 21 8.301 80.428 98.8 99999 20100501 82 76.8 1010.2 1000 9.8 0.6 1.9 999.9 89.6 74 2.34 999.9 10 NA
"87" "anuradhapura" "2010-06-01" 434210 "LKA" "Sri Lanka" "LK.AD" 20100601 38 8.301 80.428 98.8 99999 20100601 85 76.4 1008.1 997.9 11.7 3.3 4.1 999.9 95 78 0 999.9 0 NA
"88" "anuradhapura" "2010-07-01" 434210 "LKA" "Sri Lanka" "LK.AD" 20100701 83 8.301 80.428 98.8 99999 20100701 82.2 73.4 1006.4 996.2 10.1 5.3 8.9 999.9 90 77 0 999.9 0 NA
"89" "anuradhapura" "2010-08-01" 434210 "LKA" "Sri Lanka" "LK.AD" 20100801 67 8.301 80.428 98.8 99999 20100801 84.3 73.2 1008.5 998.3 10.1 7.7 40 999.9 97 76 0 999.9 0 NA
"90" "anuradhapura" "2010-09-01" 434210 "LKA" "Sri Lanka" "LK.AD" 20100901 60 8.301 80.428 98.8 99999 20100901 82.8 71.5 1008.7 998.5 9.3 1.6 4.1 999.9 93 74 0 999.9 0 NA
"91" "anuradhapura" "2010-10-01" 434210 "LKA" "Sri Lanka" "LK.AD" 20101001 33 8.301 80.428 98.8 99999 20101001 78.4 74.7 1006.3 996.1 10.1 0.2 1 999.9 90 74 2.79 999.9 10000 NA
"92" "anuradhapura" "2010-11-01" 434210 "LKA" "Sri Lanka" "LK.AD" 20101101 26 8.301 80.428 98.8 99999 20101101 80.4 74.4 1007.2 997 10.1 1.5 2.9 999.9 89 75 0.02 999.9 0 NA
"93" "anuradhapura" "2010-12-01" 434210 "LKA" "Sri Lanka" "LK.AD" 20101201 40 8.301 80.428 98.8 99999 20101201 76.5 74.5 1007.6 997.4 9.3 0 999.9 999.9 81 73 2.71 999.9 10000 NA
"94" "anuradhapura" "2011-01-01" 434210 "LKA" "Sri Lanka" "LK.AD" 20110101 21 8.301 80.428 98.8 99999 20110101 76.9 73 1008.1 997.8 9.3 0.5 1.9 999.9 85 73 0.09 999.9 10000 NA
"95" "anuradhapura" "2011-02-01" 434210 "LKA" "Sri Lanka" "LK.AD" 20110201 18 8.301 80.428 98.8 99999 20110201 74.8 72.6 1010.6 1000.4 9.3 1.1 2.9 999.9 80 73 0.55 999.9 10000 NA
"96" "anuradhapura" "2011-03-01" 434210 "LKA" "Sri Lanka" "LK.AD" 20110301 14 8.301 80.428 98.8 99999 20110301 76.2 73.3 1010.3 1000.1 10.1 0 999.9 999.9 83 72.7 0.23 999.9 10010 NA
"97" "anuradhapura" "2011-04-01" 434210 "LKA" "Sri Lanka" "LK.AD" 20110401 21 8.301 80.428 98.8 99999 20110401 83.8 73.6 1010.1 999.9 9.3 0.6 1.9 999.9 97 75 0 999.9 10 NA
"98" "anuradhapura" "2011-05-01" 434210 "LKA" "Sri Lanka" "LK.AD" 20110501 31 8.301 80.428 98.8 99999 20110501 84.1 75.7 1008 997.8 10.1 1.8 2.9 999.9 92 79 0 999.9 0 NA
