country_iso2_id,country_name,admin_lvl1_id,admin_lvl1_name,period_date,dengue_total_cases
LKA,Sri Lanka,LK.KT,Kalutara,20140101,267
LKA,Sri Lanka,LK.KT,Kalutara,20140201,175
LKA,Sri Lanka,LK.KT,Kalutara,20140301,111
LKA,Sri Lanka,LK.KT,Kalutara,20140401,117
LKA,Sri Lanka,LK.KT,Kalutara,20140501,241
LKA,Sri Lanka,LK.KT,Kalutara,20140601,429
LKA,Sri Lanka,LK.KT,Kalutara,20140701,389
LKA,Sri Lanka,LK.KT,Kalutara,20140801,239
LKA,Sri Lanka,LK.KT,Kalutara,20140901,138
LKA,Sri Lanka,LK.KT,Kalutara,20141001,158
LKA,Sri Lanka,LK.KT,Kalutara,20141101,182
LKA,Sri Lanka,LK.KT,Kalutara,20141201,185
LKA,Sri Lanka,LK.KT,Kalutara,20150101,276
LKA,Sri Lanka,LK.KT,Kalutara,20150201,180
LKA,Sri Lanka,LK.KT,Kalutara,20150301,106
LKA,Sri Lanka,LK.KT,Kalutara,20150401,72
LKA,Sri Lanka,LK.KT,Kalutara,20150501,86
LKA,Sri Lanka,LK.KT,Kalutara,20150601,78
LKA,Sri Lanka,LK.KT,Kalutara,20150701,125
LKA,Sri Lanka,LK.KT,Kalutara,20150801,92
LKA,Sri Lanka,LK.KT,Kalutara,20150901,57
LKA,Sri Lanka,LK.KT,Kalutara,20151001,118
LKA,Sri Lanka,LK.KT,Kalutara,20151101,167
LKA,Sri Lanka,LK.KT,Kalutara,20151201,202
LKA,Sri Lanka,LK.KT,Kalutara,20160101,321
LKA,Sri Lanka,LK.KT,Kalutara,20160201,294
LKA,Sri Lanka,LK.KT,Kalutara,20160301,197
LKA,Sri Lanka,LK.KT,Kalutara,20160401,312
LKA,Sri Lanka,LK.KT,Kalutara,20160501,241
LKA,Sri Lanka,LK.KT,Kalutara,20160601,343
LKA,Sri Lanka,LK.KT,Kalutara,20160701,683
LKA,Sri Lanka,LK.KT,Kalutara,20160801,286
LKA,Sri Lanka,LK.KT,Kalutara,20160901,187
LKA,Sri Lanka,LK.KY,Kandy,20100101,211
LKA,Sri Lanka,LK.KY,Kandy,20100201,174
LKA,Sri Lanka,LK.KY,Kandy,20100301,116
LKA,Sri Lanka,LK.KY,Kandy,20100401,89
LKA,Sri Lanka,LK.KY,Kandy,20100501,114
LKA,Sri Lanka,LK.KY,Kandy,20100601,176
LKA,Sri Lanka,LK.KY,Kandy,20100701,341
LKA,Sri Lanka,LK.KY,Kandy,20100801,230
LKA,Sri Lanka,LK.KY,Kandy,20100901,91
LKA,Sri Lanka,LK.KY,Kandy,20101001,64
LKA,Sri Lanka,LK.KY,Kandy,20101101,22
LKA,Sri Lanka,LK.KY,Kandy,20101201,16
LKA,Sri Lanka,LK.KY,Kandy,20110101,26
LKA,Sri Lanka,LK.KY,Kandy,20110201,28
LKA,Sri Lanka,LK.KY,Kandy,20110301,32
LKA,Sri Lanka,LK.KY,Kandy,20110401,62
LKA,Sri Lanka,LK.KY,Kandy,20110501,53
LKA,Sri Lanka,LK.KY,Kandy,20110601,81
LKA,Sri Lanka,LK.KY,Kandy,20110701,218
LKA,Sri Lanka,LK.KY,Kandy,20110801,99
LKA,Sri Lanka,LK.KY,Kandy,20110901,251
LKA,Sri Lanka,LK.KY,Kandy,20111001,255
LKA,Sri Lanka,LK.KY,Kandy,20111101,182
LKA,Sri Lanka,LK.KY,Kandy,20111201,348
LKA,Sri Lanka,LK.KY,Kandy,20120101,270
LKA,Sri Lanka,LK.KY,Kandy,20120201,194
LKA,Sri Lanka,LK.KY,Kandy,20120301,114
LKA,Sri Lanka,LK.KY,Kandy,20120401,122
LKA,Sri Lanka,LK.KY,Kandy,20120501,194
LKA,Sri Lanka,LK.KY,Kandy,20120601,298
LKA,Sri Lanka,LK.KY,Kandy,20120701,287
LKA,Sri Lanka,LK.KY,Kandy,20120801,355
LKA,Sri Lanka,LK.KY,Kandy,20120901,135
LKA,Sri Lanka,LK.KY,Kandy,20121001,177
LKA,Sri Lanka,LK.KY,Kandy,20121101,185
LKA,Sri Lanka,LK.KY,Kandy,20121201,186
LKA,Sri Lanka,LK.KY,Kandy,20130101,193
LKA,Sri Lanka,LK.KY,Kandy,20130201,215
LKA,Sri Lanka,LK.KY,Kandy,20130301,134
LKA,Sri Lanka,LK.KY,Kandy,20130401,83
LKA,Sri Lanka,LK.KY,Kandy,20130501,156
LKA,Sri Lanka,LK.KY,Kandy,20130601,186
LKA,Sri Lanka,LK.KY,Kandy,20130701,191
LKA,Sri Lanka,LK.KY,Kandy,20130801,240
LKA,Sri Lanka,LK.KY,Kandy,20130901,110
LKA,Sri Lanka,LK.KY,Kandy,20131001,59
LKA,Sri Lanka,LK.KY,Kandy,20131101,96
LKA,Sri Lanka,LK.KY,Kandy,20131201,100
LKA,Sri Lanka,LK.KY,Kandy,20140101,93
LKA,Sri Lanka,LK.KY,Kandy,20140201,49
LKA,Sri Lanka,LK.KY,Kandy,20140301,36
LKA,Sri Lanka,LK.KY,Kandy,20140401,47
LKA,Sri Lanka,LK.KY,Kandy,20140501,116
LKA,Sri Lanka,LK.KY,Kandy,20140601,270
LKA,Sri Lanka,LK.KY,Kandy,20140701,223
LKA,Sri Lanka,LK.KY,Kandy,20140801,247
LKA,Sri Lanka,LK.KY,Kandy,20140901,176
